Country_or_territory_name,ISO_3_character_country_territory_code,Region,Year,Estimated_total_population_number,Estimated_prevalence_of_TB_all_forms_per_100_000_population,Estimated_prevalence_of_TB_all_forms,Method_to_derive_prevalence_estimates,Estimated_mortality_of_TB_cases_all_forms_excluding_HIV_per_100_000_population,Estimated_number_of_deaths_from_TB_all_forms_excluding_HIV,Estimated_mortality_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_number_of_deaths_from_TB_in_people_who_are_HIV_positive,Method_to_derive_mortality_estimates,Estimated_incidence_all_forms_per_100_000_population,Estimated_number_of_incident_cases_all_forms,Estimated_HIV_in_incident_TB_percent,Estimated_incidence_of_TB_cases_who_are_HIV_positive_per_100_000_population,Estimated_incidence_of_TB_cases_who_are_HIV_positive,Case_detection_rate_all_forms_percent
Bhutan,BTN,SEA,1990,535738,1762,9400,predicted,277,1500,0,0,Indirect,777,4200,0.00999999977648258,0.0399999991059303,0.230000004172325,28
Bhutan,BTN,SEA,1991,534905,1626,8700,predicted,257,1400,0,0,Indirect,731,3900,0.00999999977648258,0.0500000007450581,0.270000010728836,25
Bhutan,BTN,SEA,1992,528304,1496,7900,predicted,235,1200,0,0,Indirect,688,3600,0.00999999977648258,0.0500000007450581,0.280000001192093,3.90000009536743
Bhutan,BTN,SEA,1993,519056,1371,7100,predicted,212,1100,0,0,Indirect,646,3400,0.00999999977648258,0.0599999986588955,0.319999992847443,3.20000004768372
Bhutan,BTN,SEA,1994,511588,1246,6400,predicted,188,960,0,0,Indirect,604,3100,0.00999999977648258,0.0700000002980232,0.379999995231628,37
Bhutan,BTN,SEA,1995,509105,1126,5700,predicted,164,830,0,0,Indirect,563,2900,0.00999999977648258,0.0799999982118607,0.400000005960464,45
Bhutan,BTN,SEA,1996,512594,1014,5200,predicted,142,730,0,0,Indirect,523,2700,0.0199999995529652,0.0900000035762787,0.46000000834465,47
Bhutan,BTN,SEA,1997,521146,907,4700,predicted,125,650,0,0,Indirect,488,2500,0.0199999995529652,0.0900000035762787,0.479999989271164,48
Bhutan,BTN,SEA,1998,533737,817,4400,predicted,110,590,0,0,Indirect,457,2400,0.0199999995529652,0.100000001490116,0.540000021457672,53
Bhutan,BTN,SEA,1999,548599,754,4100,predicted,99,540,0,0,Indirect,428,2300,0.0299999993294477,0.109999999403954,0.589999973773956,50
